,City,Cloudiness,Country,Date,Humidity,Latitude,Max Temp,Wind Speed
109,kodiak,1,us,1527645180,73,39.95,73.4,10.29
110,chuy,12,ci,1527649725,73,-33.69,63.75,16.02
111,yar-sale,88,us,1527650957,100,66.83,29.01,14.0
112,guerrero negro,12,au,1527650957,86,27.97,61.32,7.74
113,leningradskiy,8,ru,1527649965,97,69.38,32.34,17.47
114,bulungu,0,mx,1527650958,91,-4.54,69.69,2.71
115,mtwara,36,ca,1527650958,100,-10.28,76.26,12.1
116,varkkallai,75,us,1527649200,88,8.73,80.6,2.24
117,samarai,8,cn,1527650626,97,-10.62,81.21,15.12
118,avera,40,pt,1527649200,94,33.19,77.0,6.93
119,pochutla,0,cl,1527650959,100,15.74,82.47,4.72
120,saint george,40,ru,1527648600,67,39.45,60.8,4.7
121,haines junction,0,sb,1527650959,51,60.75,42.06,2.48
122,marsa matruh,40,za,1527645600,82,31.35,68.0,5.82
123,provideniya,90,fi,1527645600,92,64.42,35.6,20.13
124,kavieng,32,ca,1527649848,100,-2.57,84.72,3.6
125,tingi,0,ru,1527650960,100,-11.3,68.7,5.17
126,munai,80,pt,1527650960,96,7.97,76.53,2.48
127,nanortalik,88,pw,1527649662,92,60.14,34.86,23.62
128,yumen,0,ly,1527650961,27,40.29,75.45,10.76
129,mahajanga,0,eg,1527649200,78,-15.72,73.4,2.24
130,tiksi,92,ca,1527649764,90,71.64,35.13,9.53
131,doha,0,my,1527649200,62,25.29,89.6,2.24
132,tura,24,pe,1527650962,84,25.52,81.21,5.17
133,yatou,75,us,1527649200,100,3.63,75.2,2.24
134,lavrentiya,32,no,1527649957,91,65.58,34.5,14.12
135,muros,75,cl,1527649200,100,42.77,51.8,1.12
136,te anau,8,lr,1527650963,96,-45.41,40.98,3.49
137,saskylakh,0,jp,1527649674,90,71.97,42.78,7.4
138,bontang,80,id,1527650963,100,0.12,81.93,6.4
139,makakilo city,1,ph,1527649020,69,21.35,80.6,10.29
140,upernavik,68,ca,1527648773,88,72.79,31.98,5.17
141,kysyl-syr,32,au,1527650243,38,63.9,51.6,4.72
142,cabo san lucas,5,za,1527648660,41,22.89,89.6,3.36
143,east london,0,bb,1527650964,100,-33.02,63.03,8.63
144,watertown,90,za,1527650100,64,44.9,71.6,12.75
145,akureyri,75,gn,1527649200,71,65.68,55.4,8.05
146,cherskiy,80,us,1527650793,74,68.75,43.86,2.48
147,isangel,48,ru,1527650965,100,-19.55,74.73,13.11
148,norman wells,20,ie,1527649200,28,65.28,59.0,6.93
149,prince albert,20,my,1527649200,34,53.2,64.4,9.17
150,batagay-alyta,80,au,1527650966,61,67.8,40.53,4.05
151,westport,0,gh,1527650966,88,53.8,55.74,6.73
152,sitka,0,pg,1527649636,75,37.17,70.41,12.44
153,ponta do sol,24,ki,1527650966,71,-20.63,55.47,7.96
154,marsh harbour,12,ng,1527650967,97,26.54,79.32,13.67
155,saint-augustin,90,us,1527649200,93,44.83,59.0,2.59
156,maunabo,40,in,1527648960,88,18.01,78.8,10.29
157,tabou,88,ml,1527650967,100,4.42,81.3,7.4
158,newport,44,au,1527648600,100,51.59,60.8,14.99
159,port lincoln,64,pe,1527650968,81,-34.72,62.22,17.25
160,sobolevo,12,pg,1527650968,70,54.43,65.46,11.21
161,san patricio,8,pk,1527650968,46,-26.98,73.65,6.51
162,new richmond,5,cl,1527649200,82,48.17,46.4,3.36
163,norton shores,1,sa,1527650340,65,43.17,78.8,3.36
164,hailar,0,br,1527650969,60,49.2,76.89,8.75
165,lagoa,0,to,1527649200,87,37.14,57.2,8.05
166,constitucion,5,in,1527648540,14,23.99,84.2,12.75
167,kirakira,36,ca,1527650808,100,-10.46,78.87,15.01
168,port elizabeth,1,bw,1527649500,100,39.31,71.6,3.36
169,lapua,0,mr,1527648600,66,62.97,51.8,8.05
170,yellowknife,75,ru,1527645600,40,62.45,53.6,12.75
171,igrim,48,ru,1527650970,52,63.19,43.68,4.05
172,castanheira do ribatejo,40,ca,1527649200,87,38.99,60.8,4.7
173,airai,0,np,1527649758,38,-8.93,83.91,2.48
174,gat,44,ru,1527650597,89,14.69,69.51,5.61
175,matay,0,ao,1527650971,61,28.42,69.06,8.52
176,paka,0,gn,1527649200,87,45.29,57.2,6.93
177,huarmey,0,ru,1527650972,89,-10.07,54.39,3.49
178,quatre cocos,20,au,1527649200,88,-20.21,66.2,6.93
179,jackson,90,ru,1527648960,100,35.61,73.4,11.41
180,santa josefa,36,ru,1527650973,71,7.99,86.61,2.15
181,mehamn,75,au,1527648600,93,71.03,39.2,10.29
182,taltal,0,ie,1527650849,93,-25.41,46.92,2.15
183,monrovia,75,ru,1527647400,94,6.33,75.2,3.36
184,naze,48,us,1527650722,98,5.43,72.75,0.13
185,kalianget,0,br,1527650973,77,-7.74,82.92,3.71
186,chapleau,24,cl,1527650811,49,47.85,67.53,4.5
187,perth,75,ru,1527648600,100,56.4,51.8,5.82
188,durban,90,cl,1527649200,93,43.54,60.8,3.49
189,bathsheba,20,pe,1527645600,78,13.22,78.8,17.22
190,richards bay,92,ca,1527650974,100,-28.77,60.78,5.39
191,mamou,68,sn,1527650534,92,10.37,66.09,2.48
192,redlands,40,pe,1527649080,60,34.06,68.0,11.41
193,bolgar,32,br,1527649200,54,54.97,59.0,15.66
194,dunmore east,48,ru,1527650975,79,52.15,59.43,8.75
195,tawau,75,ru,1527649200,79,4.26,86.0,3.36
196,lashio,92,re,1527650976,98,22.93,70.23,2.71
197,mount isa,0,mx,1527649200,24,-20.73,80.6,17.22
198,anloga,20,ph,1527649200,94,5.79,77.0,3.36
199,namatanai,36,ph,1527650976,96,-3.66,85.35,1.03
200,butaritari,92,kz,1527649769,100,3.07,84.54,11.43
201,bama,12,ru,1527650977,77,24.14,84.18,7.74
202,butte,1,cn,1527648780,34,46.01,66.2,5.82
203,waraseoni,8,au,1527650977,33,21.76,96.78,4.05
204,araouane,20,td,1527650977,19,18.9,82.83,9.98
205,broome,90,eg,1527648960,93,52.47,53.6,12.75
206,san miguel,75,jp,1527650580,77,-34.54,69.8,11.41
207,panguna,92,td,1527650979,89,-6.32,80.13,4.05
208,castro,92,cn,1527649791,100,-42.48,45.12,7.63
209,mecca,20,uy,1527649200,27,21.43,91.4,3.38
210,itacoatiara,12,ca,1527650979,96,-3.14,75.0,2.59
211,pangai,20,mv,1527649200,69,-19.8,77.0,9.17
212,addanki,0,in,1527650980,52,15.81,93.09,5.73
213,port hardy,75,bm,1527649200,66,50.7,50.0,13.87
214,ghanzi,0,ne,1527650877,58,-21.7,47.28,5.61
215,nouakchott,68,za,1527650980,94,18.08,69.15,7.74
216,pevek,48,au,1527649753,85,69.7,36.75,8.97
217,redwater,75,br,1527649200,33,53.95,57.2,3.36
218,jumla,0,ph,1527650620,89,29.28,44.58,1.36
219,luanda,75,br,1527645600,88,-8.83,75.2,3.49
220,tokonou,36,us,1527650982,94,9.65,70.05,5.95
221,okha,100,tm,1527650982,96,53.59,47.19,20.27
222,carnarvon,8,ly,1527649811,70,-30.97,25.05,2.93
223,namtsy,0,by,1527650982,39,62.72,51.42,8.63
224,kultuk,88,co,1527650982,77,51.73,54.3,3.15
225,broken hill,0,no,1527650983,64,-31.97,56.82,11.43
226,dingle,36,gl,1527650983,87,11.0,83.82,8.52
227,tilichiki,64,mx,1527650983,97,60.47,40.26,3.49
228,saraland,40,mz,1527648960,83,30.82,80.6,8.05
229,ipixuna,75,us,1527649200,88,-1.76,77.0,4.7
230,diego de almagro,0,cn,1527650849,81,-26.39,47.55,2.15
231,evensk,64,ar,1527650984,88,61.92,41.7,1.92
232,coihaique,75,id,1527649200,93,-45.58,37.4,5.82
233,lima,12,br,1527650977,85,-12.06,52.5,2.37
234,bonavista,92,au,1527650859,94,48.65,39.63,18.59
235,dakar,32,ru,1527649200,94,14.69,69.8,7.18
236,celendin,92,us,1527650985,86,-6.87,57.9,1.36
237,benjamin constant,75,mx,1527649200,100,-4.38,75.2,3.15
238,srednekolymsk,8,pe,1527650004,49,67.46,51.87,6.96
239,tabory,0,ru,1527650985,73,53.89,57.99,3.94
240,saint-joseph,75,ga,1527649200,82,43.56,69.8,5.82
241,acapulco,20,us,1527648420,78,16.86,82.4,5.82
242,basco,90,tm,1527650100,74,40.33,78.8,10.2
243,manuk mangkaw,76,ga,1527650986,100,4.8,81.93,6.06
244,derzhavinsk,0,us,1527650986,74,51.1,46.74,15.57
245,tommot,0,es,1527650460,52,58.97,53.94,6.17
246,erenhot,0,nu,1527650600,43,43.65,76.98,4.94
247,faya,0,ru,1527645600,45,18.39,68.0,5.82
248,aswan,0,sa,1527650704,45,24.09,70.5,5.95
249,hasaki,75,au,1527647400,78,35.73,73.4,11.41
250,mao,20,ru,1527649200,78,19.55,78.8,9.17
251,yangjiang,36,ru,1527650988,98,21.85,85.98,9.75
252,paso de los toros,24,cn,1527650988,64,-32.81,68.52,15.46
253,aklavik,20,om,1527645600,20,68.22,51.8,10.29
254,mau,0,bw,1527650988,57,25.94,89.04,15.46
255,hamilton,40,au,1527645600,77,43.26,69.8,11.41
256,madarounfa,0,us,1527650989,64,13.3,80.13,13.78
257,saldanha,76,br,1527649862,97,41.42,49.62,3.15
258,uaua,88,ca,1527650989,90,-9.84,69.33,12.55
259,san rafael,92,ru,1527650733,67,-34.61,47.19,6.96
260,dom pedrito,24,ca,1527650990,67,-30.98,64.92,12.55
261,bethel,90,mu,1527646140,81,60.79,48.2,16.11
262,akdepe,75,cn,1527649200,38,42.05,60.8,11.41
263,jalu,0,us,1527650742,48,29.03,65.01,3.49
264,stolin,12,ao,1527650991,59,51.89,63.12,4.94
265,havoysund,75,co,1527648600,100,71.0,41.0,12.75
266,ilulissat,76,id,1527648600,64,69.22,35.6,2.24
267,huejuquilla el alto,80,ca,1527650991,55,22.63,68.88,2.04
268,pemba,20,nz,1527649200,83,-12.97,69.8,10.29
269,hope mills,1,us,1527650100,88,34.97,77.0,6.93
270,ganzhou,36,in,1527650992,74,25.86,86.88,4.38
271,mar del plata,48,eg,1527650992,100,-46.43,39.36,15.46
272,meulaboh,0,ar,1527650147,99,4.14,85.08,6.96
273,caravelas,76,is,1527650161,100,-17.73,75.99,12.55
274,nelson bay,40,cl,1527649200,42,-32.72,66.2,13.87
275,khandyga,76,er,1527650796,45,62.65,50.16,10.09
276,cody,1,na,1527648960,67,44.53,59.0,8.05
277,panaba,0,ht,1527650993,89,21.28,78.33,6.06
278,chicama,90,to,1527649500,88,-7.84,64.4,8.05
279,dikson,92,ca,1527649666,100,73.51,30.36,3.04
280,omboue,80,pf,1527650694,100,-1.57,77.97,9.64
281,las cruces,90,no,1527649200,100,-33.5,55.4,2.24
282,gazanjyk,92,se,1527650994,70,39.24,64.92,3.38
283,ndjole,88,ml,1527650994,97,-0.18,73.83,3.04
284,vermillion,40,mx,1527650100,94,42.78,71.6,5.82
285,arona,0,ca,1527648600,88,45.76,68.0,5.82
286,alofi,75,uy,1527649200,94,-19.06,77.0,11.41
287,komsomolskiy,44,ru,1527650980,98,67.55,24.96,9.08
288,gold coast,0,ca,1527649200,44,-28.0,77.0,9.17
289,chara,40,gb,1527648600,67,39.42,60.8,4.7
290,ubinskoye,92,sc,1527650996,77,55.31,48.0,14.12
291,salalah,75,pe,1527645000,94,17.01,80.6,4.7
292,tobane,88,id,1527650996,59,-21.91,65.1,1.59
293,portland,20,mu,1527648960,44,45.52,62.6,14.99
294,mason city,90,br,1527650100,93,43.15,71.6,6.93
295,floriano,64,za,1527650997,55,-6.77,78.42,10.42
296,kropotkin,0,ru,1527650997,42,45.43,59.97,16.46
297,souillac,20,gl,1527649200,93,45.6,55.4,3.36
298,altay,0,ru,1527650128,45,47.83,54.57,2.37
299,college,75,ao,1527649080,31,64.86,64.4,12.75
300,menongue,68,br,1527650998,53,-14.66,64.92,2.71
301,puerto asis,0,ru,1527650998,97,0.51,71.13,2.04
302,padang,92,za,1527650998,100,-0.92,77.34,4.72
303,pangnirtung,0,in,1527650522,76,66.15,20.37,6.06
304,hokitika,56,ph,1527650999,100,-42.72,50.07,2.48
305,winnemucca,1,no,1527648960,35,40.97,69.8,6.93
306,daltenganj,0,ru,1527650999,57,24.03,91.65,5.95
307,rosetta,20,cn,1527645600,73,31.4,71.6,6.93
308,viedma,0,gl,1527651000,99,-40.81,46.83,9.08
309,ancud,92,cn,1527650149,97,-41.87,46.02,6.96
310,barentu,64,id,1527650454,92,15.11,67.08,2.59
311,luderitz,0,py,1527645600,93,-26.65,53.6,8.05
312,jeremie,0,ru,1527651000,95,18.65,80.13,4.61
313,torbay,90,us,1527649800,100,47.66,41.0,6.93
314,tevaitoa,0,pe,1527651001,98,-16.78,81.66,11.54
315,bud,0,us,1527648600,71,62.91,55.4,12.75
316,kristinehamn,0,gl,1527648600,93,59.31,59.0,5.82
317,dire,44,jp,1527651031,97,9.18,49.35,2.59
318,puerto madero,75,us,1527650580,77,-34.61,69.8,11.41
319,dryden,90,na,1527649860,83,49.79,69.8,8.05
320,treinta y tres,32,bw,1527651003,70,-33.23,65.01,12.77
321,neryungri,0,ru,1527651004,42,56.66,57.45,5.5
322,bodmin,75,ph,1527648600,93,50.47,60.8,8.05
323,victoria,75,gl,1527649200,83,5.28,87.8,1.12
324,nabire,80,ph,1527651005,86,-3.36,77.25,1.7
325,cidreira,0,jp,1527649774,88,-30.17,61.5,7.07
326,graaff-reinet,0,tz,1527651006,74,-32.25,30.9,2.48
327,severo-kurilsk,0,us,1527649503,80,50.68,47.28,6.06
328,qaqortoq,92,ru,1527648600,60,60.72,41.0,4.7
329,talnakh,32,us,1527649747,90,69.49,35.4,3.71
330,caxito,12,pf,1527651036,100,-22.65,61.05,3.38
331,porto belo,0,in,1527649200,88,-27.15,69.8,6.93
332,murmansk,75,id,1527649200,80,68.97,39.2,15.66
333,tonk,24,gl,1527651008,33,26.16,94.62,12.77
334,sorland,75,jp,1527648600,93,67.67,42.8,9.17
335,divnomorskoye,0,mm,1527651009,55,44.5,68.88,9.64
336,manggar,80,ru,1527651010,95,-2.88,83.28,5.17
337,concepcion,68,ru,1527651010,95,9.56,75.81,2.48
338,kahului,90,ve,1527647160,88,20.89,80.6,8.05
339,thomaston,90,jp,1527649980,88,32.89,75.2,8.05
340,sisimiut,88,cl,1527650692,94,66.94,32.88,3.15
341,izumo,75,cm,1527645600,69,35.37,75.2,4.7
342,ormond beach,90,kz,1527648780,100,29.29,73.4,3.36
343,gobabis,0,ke,1527651011,70,-22.45,43.68,2.71
344,kasane,0,ru,1527649200,93,-17.8,53.6,2.24
345,sarangani,88,tc,1527650741,100,5.4,81.48,5.73
346,santa teresa,20,ca,1527649200,88,10.26,77.0,2.04
347,shingu,75,ne,1527647640,100,33.72,68.0,5.82
348,kingori,75,ru,1527645600,88,-3.38,64.4,2.59
349,kerrville,1,id,1527648900,54,30.05,82.4,8.63
350,pampa,1,ca,1527648900,73,35.54,82.4,8.05
351,tiarei,20,br,1527649200,61,-17.53,82.4,6.93
352,mangrol,100,ca,1527651014,29,25.33,97.32,12.77
353,metro,12,ar,1527651015,85,-5.11,85.98,3.49
354,paamiut,92,td,1527650516,93,61.99,37.02,40.18
355,oyama,90,co,1527645600,69,36.31,73.4,5.82
356,khani,75,au,1527649200,52,41.96,64.4,26.4
357,ejido,0,cd,1527649200,93,8.55,77.0,1.7
358,katsuura,75,cn,1527647280,94,33.93,68.0,2.04
359,bertoua,80,au,1527651018,97,4.58,66.72,2.37
360,magadi,75,ru,1527649200,100,12.96,75.2,6.93
361,tashla,0,ly,1527649200,51,53.71,59.0,11.18
362,cockburn town,44,us,1527651019,96,21.46,79.5,22.06
363,oromocto,1,se,1527649200,50,45.85,57.2,4.7
364,arlit,0,ie,1527651019,17,18.74,71.31,3.6
365,shestakovo,88,ru,1527650718,64,56.49,58.8,6.4
366,atambua,0,ru,1527650491,77,-9.11,85.71,6.62
367,fairview,1,ca,1527650100,73,40.81,78.8,4.38
368,iguape,0,mu,1527651050,100,-24.7,62.67,8.63
369,tuy hoa,20,au,1527651022,72,13.08,89.4,4.5
370,clyde river,90,mz,1527649200,92,70.47,24.8,6.93
371,neuquen,0,ru,1527649200,61,-38.95,48.2,6.93
372,pala,90,mn,1527647400,94,9.71,77.0,4.7
373,bosconia,44,ca,1527651023,91,9.97,71.31,2.71
374,port augusta,0,ru,1527649200,45,-32.49,62.6,9.17
375,lubumbashi,0,id,1527651024,80,-11.66,52.59,4.94
376,zhicheng,80,my,1527651024,57,35.04,79.86,2.59
377,roebourne,80,mx,1527651024,20,-20.77,81.84,14.45
378,rochegda,76,in,1527651024,93,62.67,52.68,12.44
379,half moon bay,75,gl,1527649200,81,37.46,75.2,13.87
380,umea,0,mx,1527648600,66,63.83,50.0,11.41
381,ballina,0,ci,1527649840,84,54.11,55.74,7.74
382,mugur-aksy,0,sd,1527651026,27,50.38,51.15,2.93
383,malartic,1,ru,1527649200,66,48.14,59.0,2.24
384,flinders,75,sa,1527645600,54,-34.58,57.2,10.29
385,inhambane,0,id,1527651026,100,-23.87,66.18,5.61
386,onguday,24,mg,1527651026,58,50.75,52.86,2.37
387,hovd,0,ru,1527648600,93,63.83,44.6,6.93
388,mayo,75,za,1527645600,50,63.59,57.2,4.7
389,sibolga,92,cu,1527651027,100,1.74,73.65,0.92
390,labuan,75,us,1527649200,83,5.28,87.8,1.12
391,ixtapa,90,id,1527648300,88,20.71,80.6,4.7
392,kannauj,44,au,1527650745,40,27.05,93.0,13.11
393,celestun,0,iq,1527651028,96,20.87,81.84,14.45
394,ferkessedougou,8,mx,1527651028,82,9.6,75.63,7.07
395,abu zabad,36,by,1527651029,82,12.35,72.57,8.75
396,riyadh,0,gl,1527649200,15,24.63,80.6,3.36
397,pangkalanbuun,44,mu,1527651029,97,-2.68,83.55,4.16
398,mokhsogollokh,12,ae,1527651029,40,61.4,53.13,11.1
399,moa,68,br,1527651030,98,20.66,72.3,1.92
400,ketchikan,40,pt,1527648960,62,55.34,51.8,12.75
401,labuhan,56,fi,1527650498,83,-2.54,82.2,2.04
402,alice springs,0,nz,1527649200,36,-23.7,64.4,13.87
403,baghdad,75,vn,1527649200,37,33.3,82.4,11.41
404,bucerias,90,us,1527648300,88,20.76,80.6,4.7
405,pastavy,24,cg,1527651031,77,55.11,65.1,4.16
406,narsaq,92,gl,1527648600,60,60.91,41.0,4.7
407,abu dhabi,0,er,1527649200,49,24.47,89.6,4.7
408,sao joao da barra,80,pe,1527651032,100,-21.64,72.3,11.65
409,ponta delgada,75,bw,1527649200,88,37.73,64.4,13.87
410,vammala,0,cn,1527650400,54,61.34,55.4,3.36
411,hanmer springs,0,cl,1527651032,81,-42.52,42.24,2.37
412,canton,75,nz,1527649020,57,40.8,80.6,5.82
413,djambala,0,us,1527651033,93,-2.55,68.25,2.93
414,teseney,56,ca,1527651033,77,15.11,76.35,8.52
415,quiruvilca,32,ar,1527651033,88,-7.37,51.96,2.04
416,gweta,64,gf,1527651033,61,-20.21,61.23,2.71
417,hami,36,us,1527651034,33,42.84,77.52,2.71
418,iquique,90,in,1527645600,67,-20.22,62.6,9.17
419,waipawa,44,au,1527651034,75,-39.94,49.62,8.97
420,ridgecrest,75,zm,1527648960,17,35.62,91.4,8.05
421,thunder bay,75,au,1527649920,87,48.41,59.0,24.16
422,rawson,0,ua,1527651034,57,-43.3,39.63,10.65
423,mana,0,by,1527649200,93,43.52,55.4,2.04
424,traverse city,1,vu,1527650100,54,44.76,80.6,8.05
425,guhagar,88,ci,1527651035,89,17.48,84.63,6.73
426,kununurra,0,ar,1527649200,22,-15.77,89.6,20.8
427,chipata,0,nc,1527651036,76,-13.64,53.4,3.15
428,byron bay,0,za,1527649200,44,-28.65,77.0,9.17
429,okhtyrka,0,my,1527651036,69,50.31,49.71,2.71
430,senno,0,us,1527645600,51,57.76,62.6,8.95
431,sola,0,nz,1527650400,54,62.78,55.4,12.75
432,duekoue,100,us,1527651037,96,6.74,73.47,4.16
433,salta,0,za,1527649200,87,-24.79,60.8,3.36
434,tadine,8,ru,1527651037,98,-21.55,74.1,10.42
435,margate,75,in,1527649200,50,-43.03,53.6,9.17
436,kapit,76,mx,1527651037,92,2.02,78.6,2.48
437,berlin,0,ru,1527650400,56,52.52,69.8,6.93
438,muriwai beach,0,cn,1527649200,71,-36.82,53.6,12.75
439,bay city,1,ru,1527650160,68,43.59,71.6,4.7
440,plettenberg bay,8,fr,1527651038,100,-34.05,55.92,5.73
441,bhuban,76,us,1527651039,90,20.88,85.44,5.39
442,villa guerrero,32,ru,1527651039,76,21.98,65.46,2.04
443,jiexiu,12,cn,1527651039,68,37.02,72.75,4.16
444,kamenka,0,br,1527649753,50,53.19,56.73,14.56
445,hendaye,40,br,1527649200,100,43.37,60.8,3.36
446,garden city,1,mz,1527650100,93,40.73,78.8,4.38
447,shiyan,92,ru,1527651040,80,32.65,66.81,2.48
448,juquitiba,0,ke,1527649200,82,-23.93,60.8,5.82
449,barreiras,76,ag,1527651041,54,-12.14,74.64,11.43
